RESIDENCE,BIRTHPLACE,NATIONALITY,EG_FGN_RESIDENT,ID_TYPE,CUSTOMER_SEGMENT,INDUSTRY,JOB_TITLE,INCOME_SOURCE,SEX,TITLE,AGE,CONTACT_DATE,ACCOUNT_SINCE,DATE_TIME_LOANS,LOAN_START_DATE,LOAN_END_DATE,CUSTOMER_TYPE,KYC_DATE,KYC_REMAINING_DAYS,KYC_YEARS_INT,KYC_RISK_RATE,KYC_RISK_CATEG,CUSTOMER_STATUS,CURRENCY,INTEREST_BASIS,LOAN_MONTHS,LOAN_AMOUNT,TOTAL_LOAN_AMOUNT,TOT_INTEREST_AMT,MONTHLY_PAYMENT,CONTRACT_TYPE,ISL&SME_REPAY_TYPE,HAS_CHRG,CHRG_CODE,INTEREST_RATE,LOAN_TYPE,LOAN_SUB_TYPE,POSTING_RESTRICT,TOTAL_MONTHLY_INCOME,JOINT_SEPARAT,MARITAL_STATUS,DTI,MONTHLY_PAYMENT_BURDEN,ANNUALIZED_PAYMENT_BURDEN,CUMULATIVE_INTEREST_PCT,EFFECTIVE_INTEREST_RATE,INTEREST_TO_INCOME_RATIO,INTEREST_COVERAGE,PAYMENT_TO_LOAN_RATIO,PRINCIPAL_SHARE_PER_MONTH,LOAN_TO_INCOME_EXPOSURE,TOTAL_COST_TO_INCOME_EXPOSURE,INTEREST_SHARE_TOTAL,PRINCIPAL_SHARE_TOTAL,PRINCIPAL_TO_INTEREST_RATIO,OVERDUE_STATUS
Giza,Giza,EG,EG,National ID,Thahabi,Professionals,Freelancer,Private business,M,MR,51.45,2022-02-15,2022-02-15,2023-11-03,2022-02-22,2027-02-17,Normal,2022-02-15,537,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,540000.0,737199.5666328622,197199.5666328622,12286.659443881035,AMORT,Demand,0,NO CHARGE,13.0,Personal Loan,Secured Personal Loans,ID Update Needed,,,,,,,0.36518438265344855,0.0730368765306897,,3.738342731783732,0.02275307304422414,0.7325017870892607,,,0.26749821291073944,0.7325017870892606,2.738342731783732,PDO
Giza,Cairo,EG,EG,National ID,Upper Privilege,"Others (Goodwife, Non Adult ...)",Freelancer,Private business,F,MRS,34.16,2021-04-27,2021-04-27,2023-11-03,2022-08-22,2030-06-18,Normal,2021-04-27,-122,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,3000000.0,3770353.5503539015,770353.5503539015,104732.04306538615,AMORT,Demand,0,NO CHARGE,15.5,Personal Loan,Secured Personal Loans,KYC Update Needed,,,,,,,0.2567845167846338,0.08559483892821128,,4.894315796457089,0.034910681021795384,0.7956813492247715,,,0.20431865077522843,0.7956813492247715,3.894315796457089,PDO
Gharbia,Menoufia,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Businessman,Private business,M,MR,38.96,2017-05-16,2017-05-16,2022-09-01,2021-05-24,2026-06-01,Normal,2023-01-09,865,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,207500.0,299462.2289423648,91962.2289423648,4991.037149039414,AMORT,Monthly,1,Statement Charge for LD,15.5,Auto Loan,AL-SELF EMPL & PROF DP > 50%,ID Update Needed,,,,,,,0.443191464782481,0.0886382929564962,,3.2563611428997206,0.024053191079708016,0.6929087542453841,,,0.30709124575461594,0.6929087542453841,2.2563611428997206,CUR
Giza,Giza,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,41.09,2021-09-27,2021-09-27,2022-12-01,2021-09-28,2028-10-01,Normal,2021-09-27,396,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,84,205000.0,339577.3810630483,134577.38106304832,4042.5878697981934,AMORT,Monthly,1,Admin Charge on LD Retail,15.75,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,,,,,,,0.6564750295758455,0.09378214708226364,,2.5232871852659944,0.01971994082828387,0.6036915631961314,,,0.3963084368038687,0.6036915631961313,1.5232871852659944,CUR
Alexandria,Assiut,EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,50.3,2022-07-21,2022-07-21,2023-10-01,2022-07-25,2027-08-01,Normal,2022-07-21,693,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,500000.0,820061.4207353711,320061.42073537107,13667.690345589515,AMORT,Demand,1,Admin Charge on LD Retail,21.5,Personal Loan,P-Sel&Prof-Non Corp Relations Fixed,NO RESTRICTION,,,,,,,0.6401228414707422,0.12802456829414843,,2.5622001516184087,0.02733538069117903,0.6097104282160192,,,0.390289571783981,0.609710428216019,1.5622001516184087,CUR
Giza,Giza,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,38.71,2018-08-28,2018-08-28,2022-09-01,2020-08-25,2027-09-01,Normal,2018-08-28,-730,5,LOW,Low Risk Customer,Marginally,EGP,A,84,500000.0,764062.4606485816,264062.4606485816,9095.981674387876,AMORT,Monthly,1,Admin Charge on LD Retail,13.0,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,KYC Update Needed,,,,,,,0.5281249212971633,0.07544641732816618,,2.8934914064343573,0.018191963348775753,0.6543967617196771,,,0.3456032382803229,0.6543967617196771,1.8934914064343575,CUR
Cairo,Cairo,EG,EG,National ID,Thahabi,Governmental & Military Employees,Retired,Other,M,MR,65.85,2012-02-22,2012-02-22,2024-07-29,2024-04-30,2029-04-29,Normal,2022-02-09,531,5,LOW,Low Risk Customer,Marginally,EGP,B,60,45000.0,84066.71576342965,39066.715763429645,1401.111929390494,AMORT,Demand,0,NO CHARGE,28.000000000000004,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,,,,,0.8681492391873254,0.1736298478374651,,2.1518756854940055,0.03113582065312209,0.5352891401947181,,,0.46471085980528204,0.535289140194718,1.1518756854940058,PDO
Giza,Giza,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,44.15,2021-10-27,2021-10-27,2022-09-01,2021-10-28,2028-11-01,Normal,2021-10-27,426,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,84,80000.0,136359.46268673486,56359.462686734856,1623.3269367468436,AMORT,Monthly,1,Admin Charge on LD Retail,16.75,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,,,,,,,0.7044932835841857,0.10064189765488367,,2.419459948450313,0.020291586709335546,0.5866846233017788,,,0.4133153766982212,0.5866846233017788,1.419459948450313,CUR
Cairo,Cairo,EG,EG,National ID,Mass,Governmental & Military Employees,Employee,Salary,M,MR,42.61,2021-12-06,2021-12-06,2023-10-01,2021-12-13,2041-12-01,Normal,2021-12-06,466,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,157651.0,293343.9659982024,135692.96599820233,1222.2665249925096,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,27.262450371580147,0.11359354321491726,1.363122518579007,0.8607174454852956,0.04303587227426478,0.6305435222964793,2.1618214609745405,0.007752989356188731,0.5374271104010577,0.06104824969021066,0.11359354321491728,0.4625728895989422,0.5374271104010576,1.1618214609745399,CUR
Kafr El Sheikh,Kafr El Sheikh,EG,EG,National ID,Mass,Governmental & Military Employees,Employee,Salary,M,MR,52.62,2024-03-24,2024-03-21,2024-07-01,2024-03-26,2032-12-01,Normal,2024-03-21,1302,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,104,142000.0,368732.4221904835,226732.42219048348,3545.50405952388,AMORT,Demand,1,Admin Charge on LD Retail,27.0,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,20357.0,SEPARATE,MARRIED,18.11329872724289,0.17416633391579703,2.0899960069895642,1.5967071985245316,0.1842354459835998,1.285132059226368,1.626288903140206,0.02496833844735127,0.38510310310234724,0.06707199564693302,0.174166333915797,0.6148968968976527,0.38510310310234724,0.626288903140206,CUR
Beheira,Cairo,EG,EG,National ID,Mass,Professionals,Driver,Salary,M,MR,37.82,2023-08-21,2023-08-21,2024-07-01,2023-08-27,2038-08-01,Normal,2023-08-21,1090,5,LOW,Low Risk Customer,Non-Borrower,EGP,S,180,179841.0,290963.11510506767,111122.11510506769,1616.461750583709,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,Post No Debits,10760.0,SEPARATE,MARRIED,27.041181701214466,0.15022878722896923,1.8027454467476312,0.6178908875343647,0.04119272583562431,0.6884889411714231,2.6184087193620957,0.008988282708524246,0.6180886533850137,0.09285470879801735,0.15022878722896926,0.3819113466149864,0.6180886533850136,1.618408719362096,PDO
Fayoum,Giza,EG,EG,National ID,Mass,Professionals,Freelancer,Private business,M,MR,44.99,2022-01-12,2022-01-12,2023-10-01,2022-01-19,2040-01-01,Normal,2022-01-12,503,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,216,122624.0,216000.2984834335,93376.2984834335,1000.0013818677476,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,20.07437718247523,0.09293693140034828,1.1152431768041795,0.7614846888328018,0.04230470493515566,0.48211636969967725,2.313224040699745,0.008155021707559267,0.5677029192133495,0.05276056725870852,0.0929369314003483,0.4322970807866506,0.5677029192133494,1.313224040699745,CUR
Cairo,Cairo,EG,EG,National ID,Mass,Governmental & Military Employees,Employee,Salary,M,MR,42.61,2021-12-06,2021-12-06,2023-06-27,2021-12-13,2041-12-01,Normal,2021-12-06,466,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,157651.0,293343.9659982024,135692.96599820233,1222.2665249925096,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,27.262450371580147,0.11359354321491726,1.363122518579007,0.8607174454852956,0.04303587227426478,0.6305435222964793,2.1618214609745405,0.007752989356188731,0.5374271104010577,0.06104824969021066,0.11359354321491728,0.4625728895989422,0.5374271104010576,1.1618214609745399,CUR
